real.type	inferred	val	sim	noff	alf	prior	est	real	ratio	id	noff2	type
Unrelated	Inferred unrelated	0.996782766820534	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	1	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	1	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	1	32	125	uniform	no prior	26	26	1	off_125@no prior@uniform@32	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.857142857142857	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.142857142857143	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.741935483870968	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0115243583027763	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.258064516129032	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.988475641697224	35	125	uniform	no prior	122	163	0.748466257668712	off_125@no prior@uniform@35	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.954545454545455	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0454545454545455	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.741935483870968	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0128356254092993	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.258064516129032	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.987164374590701	104	125	uniform	no prior	116	157	0.738853503184713	off_125@no prior@uniform@104	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.827586206896552	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.00775193798449612	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.172413793103448	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.782945736434108	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0105374077976818	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.209302325581395	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.989462592202318	53	125	uniform	no prior	107	138	0.77536231884058	off_125@no prior@uniform@53	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.967741935483871	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.0161290322580645	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.032258064516129	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.806451612903226	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0117539506334073	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.17741935483871	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.988246049366593	11	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@11	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.88	81	125	uniform	no prior	116	154	0.753246753246753	off_125@no prior@uniform@81	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	81	125	uniform	no prior	116	154	0.753246753246753	off_125@no prior@uniform@81	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	81	125	uniform	no prior	116	154	0.753246753246753	off_125@no prior@uniform@81	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.12	81	125	uniform	no prior	116	154	0.753246753246753	off_125@no prior@uniform@81	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.772727272727273	81	125	uniform	no prior	116	154	0.753246753246753	off_125@no prior@uniform@81	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0107372004713893	81	125	uniform	no prior	116	154	0.753246753246753	off_125@no prior@uniform@81	Offspring sampled = 125	uniform no prior
